Population and migration > Population > Estimates > Local authority > Population estimates by local authority and year,,,,,,,,,,,,
Population estimates by local authority and year,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Age: All ages,,,,,,,,,,,,
Sex: Persons,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Mid-year 1991 ,Mid-year 2001 ,Mid-year 2011 ,Mid-year 2018 ,Mid-year 2019 ,Mid-year 2020 ,Mid-year 2021 ,Mid-year 2022 ,Mid-year 2023 
Rounding applied,Data are provided on an unrounded basis although the Office for National Statistics advises that any results presented from these data are rounded to the nearest 100 where practical.,,,,,,,,,,,
Revisions information,"The data presented here reflect changes made to population estimates from 2001 to 2010 in re-basing the data to be consistent with the results of Census 2011 (see weblinks).

The data for Scotland from 2001 to 2010 were revised on 18 March 2022 to correct an error in the age distribution over this period (see weblinks). 

This data set was revised for 2012 to 2014 on 3 May 2016 to correct an error of the age distribution in the council areas of Scotland. 

Mid-2012 to mid-2016 subnational population estimates for Wales and England were revised on the 22 March 2018, following methodological improvements (see weblinks).

On 23 November 2023, the data set from 2012 to 2020 for Wales and England were rebased to be consistent with the results of Census 2021. Northern Ireland published rebased 2012 to 2020 data on 29 June 2023.  Scotland published rebased 2012 to 2020 data on 9 July 2024.

On 15 July 2024 estimates for mid-2022 were revised by the ONS to account for updated estimates of international migration for Wales and England.

Internal migration estimates for mid-2023 have been produced using a different method to previous years, following a change to the variables available in the Higher Education Statistics Agency (HESA) data. ",,,,,,,,,,,
Title,"Mid-year population estimates (1991 onwards), by Welsh local authorities, English regions and UK countries, by single year of age and sex",,,,,,,,,,,
Last update,Jul-24,,,,,,,,,,,
Next update,Summer 2025 (provisional),,,,,,,,,,,
Publishing organisation,Welsh Government,,,,,,,,,,,
Source 1,"Mid-year population estimates, Office for National Statistics",,,,,,,,,,,
Source 2,No drop down value selected,,,,,,,,,,,
Contact email,stats.popcensus@gov.wales,,,,,,,,,,,
Designation,National Statistics,,,,,,,,,,,
Lowest level of geographical disaggregation,Local authorities,,,,,,,,,,,
Geographical coverage,United Kingdom,,,,,,,,,,,
Languages covered,English and Welsh,,,,,,,,,,,
Data licensing,"You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence",,,,,,,,,,,
Statistical quality,See weblinks.,,,,,,,,,,,
Weblinks,"https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/annualmidyearpopulationestimates/latest
https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/methodologies/midyearpopulationestimatesqmi
https://www.nrscotland.gov.uk/statistics-and-data/statistics/about-our-statistics/revisions-and-corrections",,,,,,,,,,,
Keywords,Population; UK population; Welsh population; Mid-year population estimates;,,,,,,,,,,,
